Target,Model,Family,Input_Block,Benchmark_Source,Primary_Metric,Mean_Primary,Std_Primary,Method_Group
Tg,Graph_GCN_Fusion_gated_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.862572339608602,0.0218044242706179,GraphDescriptor_Fusion
Tg,Graph_GIN_Fusion_film_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8625694311786265,0.0271871560984058,GraphDescriptor_Fusion
Tg,Graph_GIN_Fusion_film_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8622876525123789,0.0220483726562778,GraphDescriptor_Fusion
Tg,Graph_GCN_Fusion_attention_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8622430366939255,0.026771484219294,GraphDescriptor_Fusion
Tg,Graph_GIN_Fusion_concat_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8619441341390532,0.0244024728995068,GraphDescriptor_Fusion
Tg,Graph_SAGE_Fusion_attention_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8618781240588742,0.0230756805551801,GraphDescriptor_Fusion
Tg,Graph_GINE_Fusion_gated_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8616897323534187,0.0245265583017527,GraphDescriptor_Fusion
Tg,Graph_GCN_Fusion_film_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8616892591395858,0.0232859013620476,GraphDescriptor_Fusion
Tg,Graph_SAGE_Fusion_weighted_sum_chem_balanced_deep,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8615687667210136,0.0259711271170538,GraphDescriptor_Fusion
Tg,Graph_GAT_Fusion_gated_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8615348586298854,0.0246202625234632,GraphDescriptor_Fusion
Tg,Graph_GAT_Fusion_concat_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8615265689721554,0.0264547624661256,GraphDescriptor_Fusion
Tg,Graph_GAT_Fusion_concat_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8612349333335221,0.0228567528028278,GraphDescriptor_Fusion
Tg,Graph_GAT_Fusion_weighted_sum_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8609844975092773,0.0236630374076341,GraphDescriptor_Fusion
Tg,Graph_GIN_Fusion_attention_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8608691273614975,0.0278492481427689,GraphDescriptor_Fusion
Tg,Graph_GINE_Fusion_concat_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8605917386520838,0.0276712926393358,GraphDescriptor_Fusion
Tg,Graph_GCN_Fusion_concat_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8605576115546727,0.0258543357535875,GraphDescriptor_Fusion
Tg,Graph_GCN_Fusion_concat_chem_balanced_wide,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8605279324849784,0.0266404937498344,GraphDescriptor_Fusion
Tg,Graph_GCN_Fusion_attention_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8604957724699188,0.0226030676061142,GraphDescriptor_Fusion
Tg,Graph_GIN_Fusion_attention_chem_balanced_balanced,chem_aware_balanced_gnn_fusion,GraphAndProcess,from_scratch_gnn_fusion,R2,0.8604318483343659,0.0263440100118026,GraphDescriptor_Fusion
Tg,DescriptorProcess_ExtraTreesRegressor,descriptor_tree,DescriptorProcess,from_scratch_descriptor_process,R2,0.8600246583013803,0.0241359004933656,DescriptorProcess_Bagging
